# Combined Schaefer-200 + Tian Scale I (S1) — 216 regions
# Index  Label                                            Atlas
  92     7Networks_LH_Default_PFC_10                      Schaefer200_Yeo7
  93     7Networks_LH_Default_PFC_11                      Schaefer200_Yeo7
  94     7Networks_LH_Default_PFC_12                      Schaefer200_Yeo7
  95     7Networks_LH_Default_PFC_13                      Schaefer200_Yeo7
  96     7Networks_LH_Default_pCunPCC_1                   Schaefer200_Yeo7
  97     7Networks_LH_Default_pCunPCC_2                   Schaefer200_Yeo7
  98     7Networks_LH_Default_pCunPCC_3                   Schaefer200_Yeo7
  99     7Networks_LH_Default_pCunPCC_4                   Schaefer200_Yeo7
  100    7Networks_LH_Default_PHC_1                       Schaefer200_Yeo7
  101    7Networks_RH_Vis_1                               Schaefer200_Yeo7
  102    7Networks_RH_Vis_2                               Schaefer200_Yeo7
  103    7Networks_RH_Vis_3                               Schaefer200_Yeo7
  104    7Networks_RH_Vis_4                               Schaefer200_Yeo7
  105    7Networks_RH_Vis_5                               Schaefer200_Yeo7
  106    7Networks_RH_Vis_6                               Schaefer200_Yeo7
  107    7Networks_RH_Vis_7                               Schaefer200_Yeo7
  108    7Networks_RH_Vis_8                               Schaefer200_Yeo7
  109    7Networks_RH_Vis_9                               Schaefer200_Yeo7
  110    7Networks_RH_Vis_10                              Schaefer200_Yeo7
  111    7Networks_RH_Vis_11                              Schaefer200_Yeo7
  112    7Networks_RH_Vis_12                              Schaefer200_Yeo7
  113    7Networks_RH_Vis_13                              Schaefer200_Yeo7
  114    7Networks_RH_Vis_14                              Schaefer200_Yeo7
  115    7Networks_RH_Vis_15                              Schaefer200_Yeo7
  116    7Networks_RH_SomMot_1                            Schaefer200_Yeo7
  117    7Networks_RH_SomMot_2                            Schaefer200_Yeo7
  118    7Networks_RH_SomMot_3                            Schaefer200_Yeo7
  119    7Networks_RH_SomMot_4                            Schaefer200_Yeo7
  120    7Networks_RH_SomMot_5                            Schaefer200_Yeo7
  121    7Networks_RH_SomMot_6                            Schaefer200_Yeo7
  122    7Networks_RH_SomMot_7                            Schaefer200_Yeo7
  123    7Networks_RH_SomMot_8                            Schaefer200_Yeo7
  124    7Networks_RH_SomMot_9                            Schaefer200_Yeo7
  125    7Networks_RH_SomMot_10                           Schaefer200_Yeo7
  126    7Networks_RH_SomMot_11                           Schaefer200_Yeo7
  127    7Networks_RH_SomMot_12                           Schaefer200_Yeo7
  128    7Networks_RH_SomMot_13                           Schaefer200_Yeo7
  129    7Networks_RH_SomMot_14                           Schaefer200_Yeo7
  130    7Networks_RH_SomMot_15                           Schaefer200_Yeo7
  131    7Networks_RH_SomMot_16                           Schaefer200_Yeo7
  132    7Networks_RH_SomMot_17                           Schaefer200_Yeo7
  133    7Networks_RH_SomMot_18                           Schaefer200_Yeo7
  134    7Networks_RH_SomMot_19                           Schaefer200_Yeo7
  135    7Networks_RH_DorsAttn_Post_1                     Schaefer200_Yeo7
  136    7Networks_RH_DorsAttn_Post_2                     Schaefer200_Yeo7
  137    7Networks_RH_DorsAttn_Post_3                     Schaefer200_Yeo7
  138    7Networks_RH_DorsAttn_Post_4                     Schaefer200_Yeo7
  139    7Networks_RH_DorsAttn_Post_5                     Schaefer200_Yeo7
  140    7Networks_RH_DorsAttn_Post_6                     Schaefer200_Yeo7
  141    7Networks_RH_DorsAttn_Post_7                     Schaefer200_Yeo7
  142    7Networks_RH_DorsAttn_Post_8                     Schaefer200_Yeo7
  143    7Networks_RH_DorsAttn_Post_9                     Schaefer200_Yeo7
  144    7Networks_RH_DorsAttn_Post_10                    Schaefer200_Yeo7
  145    7Networks_RH_DorsAttn_FEF_1                      Schaefer200_Yeo7
  146    7Networks_RH_DorsAttn_FEF_2                      Schaefer200_Yeo7
  147    7Networks_RH_DorsAttn_PrCv_1                     Schaefer200_Yeo7
  148    7Networks_RH_SalVentAttn_TempOccPar_1            Schaefer200_Yeo7
  149    7Networks_RH_SalVentAttn_TempOccPar_2            Schaefer200_Yeo7
  150    7Networks_RH_SalVentAttn_TempOccPar_3            Schaefer200_Yeo7
  151    7Networks_RH_SalVentAttn_PrC_1                   Schaefer200_Yeo7
  152    7Networks_RH_SalVentAttn_FrOperIns_1             Schaefer200_Yeo7
  153    7Networks_RH_SalVentAttn_FrOperIns_2             Schaefer200_Yeo7
  154    7Networks_RH_SalVentAttn_FrOperIns_3             Schaefer200_Yeo7
  155    7Networks_RH_SalVentAttn_FrOperIns_4             Schaefer200_Yeo7
  156    7Networks_RH_SalVentAttn_Med_1                   Schaefer200_Yeo7
  157    7Networks_RH_SalVentAttn_Med_2                   Schaefer200_Yeo7
  158    7Networks_RH_SalVentAttn_Med_3                   Schaefer200_Yeo7
  159    7Networks_RH_Limbic_OFC_1                        Schaefer200_Yeo7
  160    7Networks_RH_Limbic_OFC_2                        Schaefer200_Yeo7
  161    7Networks_RH_Limbic_OFC_3                        Schaefer200_Yeo7
  162    7Networks_RH_Limbic_TempPole_1                   Schaefer200_Yeo7
